scope,rows,metric,avg,median,p90,p95,max
all_sampled_rows,60864,input,503.3538380651945,471.0,685.7000000000044,756.0,1293
all_sampled_rows,60864,output,708.5484522870662,667.0,1148.0,1371.0,2049
all_sampled_rows,60864,turn_total,1211.9022903522607,1161.0,1695.0,1911.0,2937
all_sampled_rows,60864,action_command,5.98427641955836,6.0,9.0,10.0,14
