env_step_bucket,rows,input_avg,input_p95,input_max,output_avg,output_max,turn_avg,turn_max
1-2,2738,630.326880934989,963.0,1267,496.05953250547844,2048,1126.3864134404675,2688
3-5,7914,560.4821834723275,867.0,1293,584.0868081880212,2048,1144.5689916603487,2937
6-10,10118,494.06355010871715,707.0,990,635.6883771496343,2048,1129.7519272583515,2741
11-20,11938,489.8085106382979,707.0,995,769.9416987770146,2048,1259.7502094153124,2902
21-30,9375,486.67050666666665,702.0,995,795.6366933333334,2049,1282.3072,2700
31-40,8334,484.5976721862251,699.3499999999995,1053,782.3704103671706,2048,1266.9680825533958,2914
41-50+,7715,484.30719377835385,701.0,994,777.7627997407648,2048,1262.0699935191185,2817
unknown,2732,472.4615666178624,846.0,877,564.1109077598828,1808,1036.5724743777453,2218
